ID,STATE,BUSINESS_PRODUCT_ID,BUSINESS_ID,CUSTOMER_ID,ADVANCE_AMOUNT,EFFECTIVE_ADVANCE,EFFECTIVE_COLLECTION,FEE_AT_DUE,REPAYMENT_AMOUNT,DUE_DATE,CURRENCY,ADVANCE_DATE,GRACE_PERIOD_ENDS_AT,CREATED_AT,REQUESTED_AT,UPDATED_AT,PAID_AT,VERSION,_FIVETRAN_DELETED,_FIVETRAN_SYNCED,TOTAL
ia-11646ee6-c552-48fa-ab61-b6864f994b48,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,31.06,1518.76,2022-05-03 06:00:00.000,USD,,2022-05-08 06:00:00.000,2022-03-16 19:02:00.806,2022-03-16 19:02:00.806,2022-03-16 20:27:12.752,,2,,2022-03-16 20:28:43.076 +0000,1653
ia-0cbebb6a-fc68-4844-a00f-08bac34e445a,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,34.34,1522.04,2022-05-08 06:00:00.000,USD,,2022-05-13 06:00:00.000,2022-03-16 19:02:11.062,2022-03-16 19:02:11.062,2022-03-16 20:27:11.997,,2,,2022-03-16 20:28:43.074 +0000,1653
ia-11812967-a765-4366-b266-ee5a2de6cbe2,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,33.03,1520.73,2022-05-06 06:00:00.000,USD,,2022-05-11 06:00:00.000,2022-03-16 19:02:05.806,2022-03-16 19:02:05.806,2022-03-16 20:27:12.846,,2,,2022-03-16 20:28:43.074 +0000,1653
ia-0af029f5-f5ce-4264-a7be-52ef2336010a,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,33.03,1520.73,2022-05-06 06:00:00.000,USD,,2022-05-11 06:00:00.000,2022-03-16 19:02:07.421,2022-03-16 19:02:07.421,2022-03-16 20:27:12.252,,2,,2022-03-16 20:28:43.076 +0000,1653
ia-1c829fac-46db-4323-a5ce-82ca60f93a38,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,33.03,1520.73,2022-05-06 06:00:00.000,USD,,2022-05-11 06:00:00.000,2022-03-16 19:02:04.741,2022-03-16 19:02:04.741,2022-03-16 20:27:13.021,,2,,2022-03-16 20:28:43.080 +0000,1653
ia-010225f3-ff70-44f4-8c3a-8130c03f43d5,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,30.41,1518.11,2022-05-02 06:00:00.000,USD,,2022-05-07 06:00:00.000,2022-03-16 19:01:59.451,2022-03-16 19:01:59.451,2022-03-16 20:27:12.931,,2,,2022-03-16 20:28:43.079 +0000,1653
ia-0f0f9d07-355e-4980-844e-e0d7fb4ffa5a,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,33.03,1520.73,2022-05-06 06:00:00.000,USD,,2022-05-11 06:00:00.000,2022-03-16 19:02:03.538,2022-03-16 19:02:03.538,2022-03-16 20:27:12.074,,2,,2022-03-16 20:28:43.075 +0000,1653
ia-0751bdb0-236a-4960-9b1e-a27a7e212c46,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,33.03,1520.73,2022-05-06 06:00:00.000,USD,,2022-05-11 06:00:00.000,2022-03-16 19:02:04.497,2022-03-16 19:02:04.497,2022-03-16 20:27:11.749,,2,,2022-03-16 20:28:43.072 +0000,1653
ia-12d5afa7-4f16-4d7b-aa9f-c06cb2a2c244,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,33.03,1520.73,2022-05-06 06:00:00.000,USD,,2022-05-11 06:00:00.000,2022-03-16 19:02:06.685,2022-03-16 19:02:06.685,2022-03-16 20:27:11.916,,2,,2022-03-16 20:28:43.073 +0000,1653
ia-0f676649-60eb-40d1-bd91-9fde491559b7,rejected,recaGLn1M8MAEJWyB,BGY6EFSQ8Z,07e85a5c-8b31-44ea-8106-0f8411222b64,1487.7,,0,33.03,1520.73,2022-05-06 06:00:00.000,USD,,2022-05-11 06:00:00.000,2022-03-16 19:02:06.802,2022-03-16 19:02:06.802,2022-03-16 20:27:12.567,,2,,2022-03-16 20:28:43.078 +0000,1653
